ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
A05,small_airport,Dixie US Forest Service Airport,5148,NA,US,US-ID,Dixie,,,A05,"-115.517997, 45.520699"
A13,small_airport,Bold Airport,900,NA,US,US-AK,Anchorage,A13,,A13,"-148.99899291992188, 61.34130096435547"
A26,small_airport,Adin Airport,4229,NA,US,US-CA,Adin,A26,,A26,"-120.9520034790039, 41.18600082397461"
A28,small_airport,Fort Bidwell Airport,4602,NA,US,US-CA,Fort Bidwell,A28,,A28,"-120.14700317382812, 41.87630081176758"
A51,small_airport,Costin Airport,13,NA,US,US-FL,Port St Joe,A51,,A51,"-85.289100646973, 29.758499145508"
A57,small_airport,Alsek River Airport,30,NA,US,US-AK,Yakutat,A57,,A57,"-138.447293043, 59.1991802403"
A61,small_airport,Tuntutuliak Airport,16,NA,US,US-AK,Tuntutuliak,A61,WTL,A61,"-162.667007446, 60.3353004456"
A63,small_airport,Twin Hills Airport,82,NA,US,US-AK,Twin Hills,A63,TWA,A63,"-160.27299499512, 59.07559967041"
A67,small_airport,Harlequin Lake Airport,100,NA,US,US-AK,Yakutat,A67,,A67,"-139.02499389648438, 59.414398193359375"
A68,small_airport,Situk Airport,50,NA,US,US-AK,Yakutat,A68,,A68,"-139.50900268554688, 59.55160140991211"
A69,small_airport,Tanis Mesa Airport,130,NA,US,US-AK,Yakutat,A69,,A69,"-138.50399780273438, 59.24800109863281"
A70,small_airport,Dangerous River Airport,50,NA,US,US-AK,Yakutat,A70,,A70,"-139.19400024414062, 59.41279983520508"
A77,small_airport,Yankee Creek 2 Airport,1120,NA,US,US-AK,Yankee Creek,A77,,A77,"-156.367004395, 63.0018997192"
A79,small_airport,Chignik Lake Airport,50,NA,US,US-AK,Chignik Lake,A79,KCQ,A79,"-158.774993896, 56.2550010681"
AA00,small_airport,Shump Airport,1670,NA,US,US-AK,Talkeetna,AA00,,AA00,"-149.926717, 62.51015"
AA05,small_airport,Shelby Strip,40,NA,US,US-AK,Anchorage,AA25,,AA25,"-149.078925, 61.507867"
AA06,small_airport,Sixmile Lake Airport,85,NA,US,US-AK,Anchorage,AA06,,AA06,"-149.806111, 61.289722"
AA09,small_airport,Busch Creek Airport,3984,NA,US,US-AK,Talkeetna,AA09,,AA09,"-147.774722, 62.477502"
AA16,small_airport,Treasure Chest Airport,125,NA,US,US-AK,Kenai,AA16,,AA16,"-151.2945, 60.624808"
AA22,small_airport,Delta Daves Airport,1070,NA,US,US-AK,Delta Junction,AA22,,AA22,"-145.804494, 64.132858"
